Wave_num	Group	Assignment
667	Unknown	Unknown
668	Unknown	Unknown
669	nucleic_acids	"C-S stretching mode of cytosine;дн7(д─: porphyrin deformation), observed in the spectra of single human RBC"
670	Unknown	Unknown
671	proteins	Ring breathing of tryptophan
672	Unknown	Unknown
673	Unknown	Unknown
674	Unknown	Unknown
675	Unknown	Unknown
676	Unknown	Unknown
677	Unknown	Unknown
678	nucleic_acids	Ring breathing modes in the DNA bases G (ring breathing modes in the DNA bases)/C-2 -endo-anti
679	Unknown	Unknown
680	Unknown	Unknown
681	Unknown	Unknown
682	Unknown	Unknown
683	Unknown	Unknown
684	Unknown	Unknown
685	Unknown	Unknown
686	Unknown	Unknown
687	Unknown	Unknown
688	Unknown	Unknown
689	Unknown	Unknown
690	Unknown	Unknown
691	Unknown	Unknown
692	Unknown	Unknown
693	Unknown	Unknown
694	Unknown	Unknown
695	Unknown	Unknown
696	Unknown	Unknown
697	Unknown	Unknown
698	Unknown	Unknown
699	Unknown	Unknown
700	Unknown	Unknown
701	Unknown	Unknown
702	lipids	"Cholesterol, cholesterol ester"
703	Unknown	Unknown
704	Unknown	Unknown
705	Unknown	Unknown
706	Unknown	Unknown
707	Unknown	Unknown
708	Unknown	Unknown
709	Unknown	Unknown
710	Unknown	Unknown
711	Unknown	Unknown
712	Unknown	Unknown
713	Unknown	Unknown
714	Unknown	Unknown
715	Unknown	Unknown
716	Unknown	Unknown
717	Unknown	Unknown
718	others	Choline group
719	lipids	"C-N (membrane phospholipid head)/nucleotide peak;Symmetric stretch vibration of choline group N+(CH3)3,characteristic for phospholipids;Phosphatidylcholine, sphingomyelin C-C-N+ symmetric stretching in phosphatidylcholine (lipid assignment)"
720	Unknown	Unknown
721	Unknown	Unknown
722	Unknown	Unknown
723	Unknown	Unknown
724	nucleic_acids	Nucleic acids
725	nucleic_acids	A (ring breathing mode of DNA/RNA bases)
726	proteins	"C-S (protein), CH2 rocking, adenine"
727	Unknown	Unknown
728	proteins	Ring breathing of tryptophan
729	nucleic_acids	adenine
730	Unknown	Unknown
731	Unknown	Unknown
732	Unknown	Unknown
733	proteins	Phosphatidylserine
734	Unknown	Unknown
735	others	"C-S stretch (one of three thiocyanate peaks, with 2095 and 445 cm-1)"
736	Unknown	Unknown
737	Unknown	Unknown
738	Unknown	Unknown
739	Unknown	Unknown
740	Unknown	Unknown
741	Unknown	Unknown
742	nucleic_acids;proteins	"DNA, tryptophan"
743	Unknown	Unknown
744	carbohydrates;carotenoids	H-C-O stretches and chlorophyll a N-C-C deformation
745	Unknown	Unknown
746	nucleic_acids	T (ring breathing mode of DNA/RNA bases)
747	Unknown	Unknown
748	nucleic_acids	DNA
749	proteins	Symmetric breathing of tryptophan (protein assignment)
750	others	"CH2,6 out-of-plane bending, observed in the spectra of single human RBC;Lactic acid"
751	Unknown	Unknown
752	others	"дн15 (porphyrin breathing mode), (the most informative about the status of RBC and a direct measure of the heme groups of the hemoglobins);DNA"
753	Unknown	Unknown
754	Unknown	Unknown
755	Unknown	Unknown
756	Unknown	Unknown
757	Unknown	Unknown
758	Unknown	Unknown
759	proteins	Tryptophan;Ethanolamine group;Phosphatidylethanolamine
760	proteins	"Tryptophan, д─(ring);Ring breathing tryptophan (proteins)"
761	Unknown	Unknown
762	Unknown	Unknown
763	Unknown	Unknown
764	Unknown	Unknown
765	Unknown	Unknown
766	nucleic_acids	Pyrimidine ring breathing mode
767	Unknown	Unknown
768	Unknown	Unknown
769	Unknown	Unknown
770	Unknown	Unknown
771	Unknown	Unknown
772	Unknown	Unknown
773	Unknown	Unknown
774	Unknown	Unknown
775	Unknown	Unknown
776	lipids	Phosphatidylinositol
777	Unknown	Unknown
778	Unknown	Unknown
779	Unknown	Unknown
780	nucleic_acids	Uracil-based ring breathing mode
781	nucleic_acids	Cytosine/uracil ring breathing (nucleotide)
782	nucleic_acids	"DNA;Thymine, cytosine, uracil;RNA;U, T, C (ring breathing modes in the DNA/RNA bases)"
783	Unknown	Unknown
784	Unknown	Unknown
785	nucleic_acids	"U, T, C (ring breathing modes in the DNA/RNA bases);Backbone O-P-O"
786	nucleic_acids	"DNA: O-P-O, cytosine, uracil, thymine;Pyrimidine ring breathing mode"
787	nucleic_acids	Can be taken as a measure for the relative quantity of nucleic acids present;Phosphatidylserine
788	nucleic_acids	C5-O-P-O-C3  phosphodiester bands in DNA;O-P-O stretching DNA
789	Unknown	Unknown
790	Unknown	Unknown
791	nucleic_acids	Pyrimidine
792	Unknown	Unknown
793	Unknown	Unknown
794	Unknown	Unknown
795	Unknown	Unknown
796	Unknown	Unknown
797	Unknown	Unknown
798	Unknown	Unknown
799	Unknown	Unknown
800	Unknown	Unknown
801	Unknown	Unknown
802	nucleic_acids	Uracil-based ring breathing mode
803	Unknown	Unknown
804	Unknown	Unknown
805	Unknown	Unknown
806	Unknown	Unknown
807	Unknown	Unknown
808	Unknown	Unknown
809	Unknown	Unknown
810	nucleic_acids	Phosphodiester (Z-marker)
811	nucleic_acids	O-P-O stretching RNA
812	nucleic_acids	Phosphodiester (Z-marker)
813	nucleic_acids	One of the two most distinct peaks for RNA (with 1240 cm-1);C-C stretching (collagen assignment);C5-O-P-O-C3  phosphodiester bands in RNA
814	Unknown	Unknown
815	proteins;nucleic_acids	"Proline, hydroxyproline, tyrosine, дн2 PO2- stretch of nucleic acids"
816	proteins	d (CCH) aliphatic of collagen
817	proteins	C-C stretching (collagen assignment)
818	Unknown	Unknown
819	Unknown	Unknown
820	proteins	"Protein band;Structural protein modes of tumors;Proteins, including collagen I"
821	Unknown	Unknown
822	nucleic_acids	Phosphodiester
823	proteins	"Out-of-plane ring breathing, tyrosine (protein assignment)"
824	Unknown	Unknown
825	Unknown	Unknown
826	nucleic_acids	O-P-O stretch DNA stretch of nucleic
827	proteins	"Proline, hydroxyproline, tyrosine, дн2 PO2 acids"
828	proteins;nucleic_acids	"Out-of-plane ring breathing, tyrosine/O-P-O stretch DNA;Phosphodiester;O-P-O stretching DNA/RNA;Ring breathing tyrosine"
829	Unknown	Unknown
830	nucleic_acids	"Proline, hydroxyproline, tyrosine, дн2 PO2- stretch of nucleic acids;C-H out-of-plane bending in benzoid ring"
831	proteins	"Asymmetric O-P-O stretching, tyrosine"
832	Unknown	Unknown
833	Unknown	Unknown
834	Unknown	Unknown
835	Unknown	Unknown
836	Unknown	Unknown
837	Unknown	Unknown
838	proteins	Deformative vibrations of amine groups
839	Unknown	Unknown
840	carbohydrates	д┴-Anomers;Glucose-saccharide band (overlaps with acyl band);Saccharide (д┴)
841	Unknown	Unknown
842	carbohydrates	Glucose
843	Unknown	Unknown
844	Unknown	Unknown
845	Unknown	Unknown
846	Unknown	Unknown
847	carbohydrates	"Monosaccharides (д┴-glucose), (C-O-C) skeletal mode;Disaccharide (maltose), (C-O-C) skeletal mode"
848	Unknown	Unknown
849	Unknown	Unknown
850	carbohydrates	Most probably due to single-bond stretching vibrations for the amino acids and valine and polysaccharides;Tyrosine (Fermi resonance of ring fundamental and overtone)
851	Unknown	Unknown
852	proteins;carbohydrates	"Proline, hydroxyproline, tyrosine;Tyrosine ring breathing;Glycogen"
853	proteins;carbohydrates	Ring breathing mode of tyrosine and C-C stretch of proline ring;Glycogen
854	proteins;carbohydrates	"(C-O-C) skeletal mode of д┴-anomers (polysaccharides, pectin);Ring breathing tyrosine (proteins)"
855	proteins;carbohydrates	"Proline, tyrosine;дн(C-C), proline + д─(CCH) ring breathing, tyrosine (protein assignment and polysaccharide);д─(CCH) phevylalanine, olefinic (protein assignment and polysaccharide);Collagen"
856	proteins	"Amino acid side chain vibrations of proline and hydroxyproline,as well as a (C-C) vibration of the collagen backbone;hydroxyproline (collagen type I)"
857	Unknown	Unknown
858	Unknown	Unknown
859	proteins	"Tyrosine, collagen"
860	others	Phosphate group;Phosphatidic acid
861	Unknown	Unknown
862	Unknown	Unknown
863	Unknown	Unknown
864	Unknown	Unknown
865	carbohydrates;lipids	C-C-H and C-O-C deformations;Phospholipid C4N+ and O-C-C-N symmetric stretches
866	carbohydrates	C-C-H and C-O-C deformations
867	nucleic_acids	"Ribose vibration, one of the distinct RNA modes (with 915 and 974 cm-1)"
868	proteins;carbohydrates	"C-C stretching, hypro (collagen assignment);Monosaccharides (д┬-fructose), (C-O-C) skeletal mode;Disaccharide (sucrose), (C-O-C) skeletal mode;Polysaccharides, amylase;Polysaccharides, amylopectin"
869	proteins	Proline
870	proteins;carbohydrates	"Most probably due to single bond stretching vibrations for the amino acids proline and valine and polysaccharides C-C stretching, hypro (collagen assignment)"
871	Unknown	Unknown
872	Unknown	Unknown
873	proteins	"Hydroxyproline, tryptophan"
874	proteins	"C-C stretching, hypro (collagen assignment)"
875	lipids	"Antisymmetric stretch vibration of choline group N+(CH3)3, characteristic of phospholipids;Phosphatidylcholine, sphingomyelin"
876	proteins	"дн(C-C), hydroxyproline (protein assignment);C-C stretching, hydroxyproline (collagen assignment)"
877	lipids;carbohydrates	C-C-N+ symmetric stretching (lipids);C-O-C ring (carbohydrate)
878	Unknown	Unknown
879	proteins	"Hydroxyproline, tryptophan"
880	proteins	"Tryptophan, д─(ring)"
881	Unknown	Unknown
882	Unknown	Unknown
883	proteins	дЛ (CH2) (protein assignment)
884	proteins	"Proteins, including collagen I"
885	carbohydrates	"Disaccharide (cellobiose), (C-O-C) skeletal mode"
886	Unknown	Unknown
887	Unknown	Unknown
888	Unknown	Unknown
889	others	Methylene rocking
890	proteins	Protein bands;Structural protein modes of tumors;д┬-Anomers
891	carbohydrates	Saccharide band (overlaps with acyl band)
892	Unknown	Unknown
893	others	"Backbone, C-C skeletal"
894	Unknown	Unknown
895	Unknown	Unknown
896	Unknown	Unknown
897	Unknown	Unknown
898	carbohydrates;nucleic_acids	"Monosaccharides (д┬-glucose), (C-O-C) skeletal mode;Disaccharide (maltose), (C-O-C) skeletal mode;Adenine"
899	Unknown	Unknown
900	Unknown	Unknown
901	Unknown	Unknown
902	Unknown	Unknown
903	Unknown	Unknown
904	others	C-C skeletal stretching
905	Unknown	Unknown
906	proteins	Tyrosine
907	others	Formalin contamination peak on fixed tissues
908	Unknown	Unknown
909	Unknown	Unknown
910	Unknown	Unknown
911	Unknown	Unknown
912	others	Calcium oxalate
913	carbohydrates	Glucose
914	Unknown	Unknown
915	nucleic_acids	"Ribose vibration, one of the distinct RNA modes (with 915 and 974 cm-1)"
916	Unknown	Unknown
917	Unknown	Unknown
918	carbohydrates;nucleic_acids	"Proline, hydroxyproline;Glycogen and lactic acid"
919	Unknown	Unknown
920	carbohydrates;nucleic_acids	"C-C stretch of proline ring/glucose/lactic acid;C-C, praline ring (collagen assignment)"
921	carbohydrates;nucleic_acids	Proline ring/glucose/lactic acid/praline ring
922	others	C-C stretch
923	Unknown	Unknown
924	Unknown	Unknown
925	Unknown	Unknown
926	Unknown	Unknown
927	Unknown	Unknown
928	Unknown	Unknown
929	Unknown	Unknown
930	Unknown	Unknown
931	carbohydrates	Carbohydrates peak for solutions and solids
932	others	"Skeletal C-C, д┴-helix"
933	proteins	"Proline, hydroxyproline, дн(C-C) skeletal of collagen backbone"
934	proteins	C-C backbone (collagen assignment)
935	proteins	"C-C stretching mode of proline and valine and protein backbone (д┴-helix conformation)/glycogen (protein assignment);P(CH3) terminal, proline, valine + дн(CC) д┴-helix keratin (protein assignment)"
936	Unknown	Unknown
937	proteins;carbohydrates	"Proline (collagen type I);Amino acid side chain vibrations of proline and hydroxyproline,as well as a (C-C) vibration of the collagen backbone;C-C backbone (collagen assignment);Glycogen;дн (C-C) residues (д┴-helix);C-C stretching, д┴-helix (proteins);C-O-C glycodides (carbohydrates);Collagen"
938	others	C-C stretch backbone
939	Unknown	Unknown
940	carbohydrates	C-O-C and C-O-H deformations; C-O stretching
941	carbohydrates	"Skeletal modes (polysaccharides, amylose);Skeletal modes (polysaccharides, amylopectin)"
942	Unknown	Unknown
943	Unknown	Unknown
944	Unknown	Unknown
945	carbohydrates;proteins	"д┴-helix C-C backbone stretches, C-O-C stretches"
946	Unknown	Unknown
947	Unknown	Unknown
948	Unknown	Unknown
949	Unknown	Unknown
950	carbohydrates;proteins	Most probably due to single bond stretching vibrations for the amino acids proline and valine and polysaccharides;Calcium phosphate stretch band
951	proteins	днs (CH3) of proteins (д┴-helix)
952	Unknown	Unknown
953	Unknown	Unknown
954	Unknown	Unknown
955	Unknown	Unknown
956	carotenoids	Carotenoids (absent in normal tissues)
957	others	"Hydroxyapatite, carotenoid, cholesterol"
958	Unknown	Unknown
959	Unknown	Unknown
960	others	Symmetric stretching vibration of дн1PO43- (phosphate of HA);Calcium-phosphate stretch band (high quantities of cholesterol);Quinoid ring in-plane deformation;Calcium hydroxyapatite
961	Unknown	Unknown
962	others	Phoisphate symmetric stretching vibration of calcium hydroxyapatite
963	proteins	"Unassigned in protein assignments;CH2,6  out-of-plane bending"
964	Unknown	Unknown
965	Unknown	Unknown
966	others	Hydroxyapatite
967	Unknown	Unknown
968	lipids	Lipids
969	Unknown	Unknown
970	proteins;nucleic_acids	Phosphate monoester groups of phosphorylated proteins and cellular nucleic acids
971	others	дн(C-C) wagging
972	lipids	Lipid
973	proteins	"дЛ(CH3), д─(CCH) olefinic (protein assignment)"
974	nucleic_acids	"Ribose vibration, one of the distinct RNA modes (with 874 and 915 cm-1)"
975	Unknown	Unknown
976	Unknown	Unknown
977	Unknown	Unknown
978	Unknown	Unknown
979	Unknown	Unknown
980	proteins	C-C stretching д┬-sheet (proteins)
981	Unknown	Unknown
982	Unknown	Unknown
983	Unknown	Unknown
984	Unknown	Unknown
985	Unknown	Unknown
986	Unknown	Unknown
987	Unknown	Unknown
988	Unknown	Unknown
989	Unknown	Unknown
990	Unknown	Unknown
991	proteins	"Single human RBC, phenylalanine, NADH"
992	Unknown	Unknown
993	Unknown	Unknown
994	Unknown	Unknown
995	Unknown	Unknown
996	carbohydrates	"C-O ribose, C-C-C"
997	Unknown	Unknown
998	Unknown	Unknown
999	others	"дн45(CC), observed in the spectra of single human RBC"
1000	proteins	Phenylalanine;Bound and free NADH
1001	proteins;carotenoids	"Phenylalanine ring breath,carotene C-H bending"
1002	proteins;carotenoids	"Phenylalanine ring breath,carotene C-H bending"
1003	proteins;carotenoids	"Phenylalanine ring breath,carotene C-H bending"
1004	proteins;carotenoids	"Phenylalanine ring breath,carotene C-H bending"
1005	proteins;carotenoids	"Phenylalanine ring breath,carotene C-H bending"
1006	proteins;carotenoids	"Phenylalanine ring breath,carotene C-H bending"
1007	proteins;carotenoids	"Phenylalanine ring breath,carotene C-H bending"
1008	proteins;carotenoids;carbohydrates	"Phenylalanine ring breath,carotene C-H bending;дн(CO), дн(CC), д─(OCH), ring (polysaccharides, pectin)"
1009	Unknown	Unknown
1010	Unknown	Unknown
1011	proteins	Tryptophan ring breathing
1012	Unknown	Unknown
1013	Unknown	Unknown
1014	Unknown	Unknown
1015	Unknown	Unknown
1016	carbohydrates	Carbohydrates peak for solids
1017	carbohydrates	Ribose
1018	carbohydrates	Stretching C-O ribose
1019	Unknown	Unknown
1020	Unknown	Unknown
1021	Unknown	Unknown
1022	carbohydrates	Glycogen
1023	carbohydrates	Glycogen
1024	Unknown	Unknown
1025	carbohydrates	Carbohydrates peak for solutions;Glycogen
1026	Unknown	Unknown
1027	Unknown	Unknown
1028	Unknown	Unknown
1029	Unknown	Unknown
1030	proteins	"Phenylalanine of collagen;дн (C-C) skeletal, keratin (protein assignment);C-H bending"
1031	proteins	"д─(C-H), phenylalanine (protein assignment);C-H in-plane bending mode of phenylalanine;Carbohydrate residues of collagen;Phenylalanine, C-N stretching of proteins;C-H in-plane bending mode of phenylalanine"
1032	lipids	CH2CH3 bending modes of collagen and phospholipids;C-C skeletal stretch (one of C-C ring vibration to be expected in aromatic structure of xylene);Phenylalanine of collagen;Proline (collagen assignment)
1033	proteins;carbohydrates	"Differences in collagen content;Phenylalanine mode;дн(CO), дн(CC), дн(CCO) (polysaccharides, pectin);C-H in-plane phenylalanine (proteins)"
1034	proteins	Phenylalanine of collagen
1035	proteins	Collagen
1036	Unknown	Unknown
1037	Unknown	Unknown
1038	Unknown	Unknown
1039	Unknown	Unknown
1040	Unknown	Unknown
1041	Unknown	Unknown
1042	Unknown	Unknown
1043	carbohydrates;proteins	Carbohydrates peak for solutions and solids;Proline (collagen assignment)
1044	proteins	дн3PO43- (symmetric stretching vibration of дн3PO43- of HA);Proline
1045	Unknown	Unknown
1046	Unknown	Unknown
1047	Unknown	Unknown
1048	carbohydrates	Glycogen
1049	carbohydrates	glycogen
1050	Unknown	Unknown
1051	Unknown	Unknown
1052	Unknown	Unknown
1053	proteins	"C-O stretching, C-N stretching (protein)"
1054	Unknown	Unknown
1055	nucleic_acids	"In the solid, the most significant difference between the two nucleic acids is the ratio intensity of the bands in this area"
1056	lipids	Alkyl C-C trans and gauche stretches
1057	lipids	Lipids
1058	Unknown	Unknown
1059	Unknown	Unknown
1060	Unknown	Unknown
1061	lipids	C-C in-plane bending (one of C-C ring vibration to be expected in aromatic structure of xylene);C-N stretching;Ceramide
1062	Unknown	Unknown
1063	lipids	C-C skeletal stretch random conformation
1064	lipids	Skeletal C-C stretch of lipids;Acyl chains;дн(C-C) trans
1065	lipids;proteins	Palmitic acid;Fatty acid;Proline
1066	lipids	Alkyl C-C gauche stretches
1067	Unknown	Unknown
1068	Unknown	Unknown
1069	Unknown	Unknown
1070	lipids	Triglycerides (fatty acids)
1071	carbohydrates	Glucose
1072	Unknown	Unknown
1073	lipids	Carbonate symmetric stretching vibration of calcium carbonate;apatite;Triglycerides (fatty acids)
1074	lipids;carbohydrates	"Glucose, triglycerides, C-C (lipid)"
1075	lipids	Alkyl C-C gauche stretches
1076	lipids	C-C (lipid in normal tissues);Symmetric stretching vibration of дн3PO43-(phosphate of HA)
1077	Unknown	Unknown
1078	lipids;nucleic_acids;carbohydrates	"дн(C-C) or дн(C-O), phospholipids (lipid assignment);Pronounced symmetric phosphate stretch;Phospholipids;C-C or C-O stretching mode of phospholipids;Carbohydrate peak for solids;C-C or C-O stretch (lipid), C-C or PO2 stretch (nucleic acid);дн(CC) skeletal"
1079	Unknown	Unknown
1080	lipids;nucleic_acids;carbohydrates	Amide II (?);Typical phospholipids;Phosphate vibrations (phosphodiester groups in nucleic acids);Collagen;TryptophanБ╗C-O-H bending
1081	lipids	"дн1CO32-, дн3PO43-, дн(C-C) skeletal of acyl backbone in lipid (gauche conformation)"
1082	carbohydrates;nucleic_acids	Carbohydrate C-O-H bending
1083	carbohydrates;proteins;lipids	C-O and C-C stretching; C-O-H deformation;C-N stretching mode of proteins (and lipid mode of lesser degree);C-N stretching mode of proteins (and lipid mode to a lesser degree)
1084	nucleic_acids	Phosphodiester groups in nucleic acids
1085	Unknown	Unknown
1086	others	дн(C-C) gauche
1087	lipids	"дн1CO32-, дн3PO43-, дн(C-C) skeletal of acyl backbone in lipid (gauche conformation)"
1088	Unknown	Unknown
1089	Unknown	Unknown
1090	others	Symmetric phosphate stretching vibrations
1091	Unknown	Unknown
1092	Unknown	Unknown
1093	proteins;nucleic_acids	Symmetric PO2- stretching vibration of the DNA backbone;phosphate backbone vibration as a marker mode for the DNA concentration; C-N of proteins
1094	nucleic_acids	DNA;C-N stretching
1095	lipids;nucleic_acids	Lipid;дн(C-N);Phosphodioxy group (PO2- in nucleic acids)
1096	nucleic_acids	Phosphodioxy (PO2-) groups
1097	Unknown	Unknown
1098	Unknown	Unknown
1099	others	дн(C-N)
1100	others	C-C vibration mode of the gauche-bonded chain
1101	nucleic_acids	O-P-O backbone stretch of DNA
1102	Unknown	Unknown
1103	Unknown	Unknown
1104	proteins	Phenylalanine (proteins)
1105	carbohydrates	Carbohydrates peak for solutions
1106	Unknown	Unknown
1107	Unknown	Unknown
1108	Unknown	Unknown
1109	Unknown	Unknown
1110	Unknown	Unknown
1111	others	Benzoid ring deformation
1112	carbohydrates	Saccharide band (overlaps with acyl band)
1113	Unknown	Unknown
1114	Unknown	Unknown
1115	Unknown	Unknown
1116	lipids	Alkyl C-C trans and gauche stretches
1117	carbohydrates	Glucose
1118	Unknown	Unknown
1119	Unknown	Unknown
1120	carbohydrates;nucleic_acids	"C-O-H deformation, C-O and C-C stretches;The strong C-O band of ribose (serves as a marker band for RNA in solutions);Carotene"
1121	Unknown	Unknown
1122	carbohydrates	"дн22 (porphyrin half ring), observed in the spectra of single human RBC;днs(CC) skeletal;днsym (C-O-C) (polysaccharides, cellulose);дн(C-C) trans"
1123	proteins;lipids;carbohydrates	"(C-N), proteins (protein assignment);C-C stretching mode of lipids and protein, C-N stretch;Glucose"
1124	lipids	дн(C-C) skeletal of acyl backbone in lipid (trans conformation)
1125	carbohydrates	"C-O-H deformation,C-O and C-C stretches"
